832
1871
 906    9   11    1
 907    9   11    0
 908   10   12    1
 909   10   12    0
 910   10   11    1
 911   10   11    0
 928    4   12    0
 929    4   12    1
 930    4   11    0
 931    4   11    1
 932    3   12    0
 933    3   12    1
 934    3   11    0
 935    3   11    1
 936    1   11    1
 937    1   11    0
 938    1   12    1
 939    1   12    0
 940    2   11    1
 941    2   11    0
 942    2   12    1
 943    2   12    0
 944    5   12    0
 945    5   12    1
 946    5   11    0
 947    5   11    1
 948    6   12    0
 949    6   12    1
 950    6   11    0
 951    6   11    1
 952    8   11    1
 953    8   11    0
 954    8   12    1
 955    8   12    0
 956    7   11    1
 957    7   11    0
 958    7   12    1
 959    7   12    0
 960   13   11    0
 961   13   11    1
 962   13   12    0
 963   13   12    1
 964   14   11    0
 965   14   11    1
 966   14   12    0
 967   14   12    1
 968   16   12    1
 969   16   12    0
 970   16   11    1
 971   16   11    0
 972   15   12    1
 973   15   12    0
 974   15   11    1
 975   15   11    0
1024   12   13    0
1025   12   13    1
1026   12   14    0
1027   12   14    1
1028   11   13    0
1029   11   13    1
1030   11   14    0
1031   11   14    1
1032    9   14    1
1033    9   14    0
1034    9   13    1
1035    9   13    0
1036   10   14    1
1037   10   14    0
1038   10   13    1
1039   10   13    0
1056    4   14    0
1057    4   14    1
1058    4   13    0
1059    4   13    1
1060    3   14    0
1061    3   14    1
1062    3   13    0
1063    3   13    1
1064    1   13    1
1065    1   13    0
1066    1   14    1
1067    1   14    0
1068    2   13    1
1069    2   13    0
1070    2   14    1
1071    2   14    0
1072    5   14    0
1073    5   14    1
1074    5   13    0
1075    5   13    1
1076    6   14    0
1077    6   14    1
1078    6   13    0
1079    6   13    1
1080    8   13    1
1081    8   13    0
1082    8   14    1
1083    8   14    0
1084    7   13    1
1085    7   13    0
1086    7   14    1
1087    7   14    0
1088   13   13    0
1089   13   13    1
1090   13   14    0
1091   13   14    1
1092   14   13    0
1093   14   13    1
1094   14   14    0
1095   14   14    1
1096   16   14    1
1097   16   14    0
1098   16   13    1
1099   16   13    0
1100   15   14    1
1101   15   14    0
1102   15   13    1
1103   15   13    0
1152   12   15    0
1153   12   15    1
1154   12   16    0
1155   12   16    1
1156   11   15    0
1157   11   15    1
1158   11   16    0
1159   11   16    1
1160    9   16    1
1161    9   16    0
1162    9   15    1
1163    9   15    0
1164   10   16    1
1165   10   16    0
1166   10   15    1
1167   10   15    0
1184    4   16    0
1185    4   16    1
1186    4   15    0
1187    4   15    1
1188    3   16    0
1189    3   16    1
1190    3   15    0
1191    3   15    1
1192    1   15    1
1193    1   15    0
1194    1   16    1
1195    1   16    0
1196    2   15    1
1197    2   15    0
1198    2   16    1
1199    2   16    0
1200    5   16    0
1201    5   16    1
1202    5   15    0
1203    5   15    1
1204    6   16    0
1205    6   16    1
1206    6   15    0
1207    6   15    1
1208    8   15    1
1209    8   15    0
1210    8   16    1
1211    8   16    0
1212    7   15    1
1213    7   15    0
1214    7   16    1
1215    7   16    0
1216   13   15    0
1217   13   15    1
1218   13   16    0
1219   13   16    1
1220   14   15    0
1221   14   15    1
1222   14   16    0
1223   14   16    1
1224   16   16    1
1225   16   16    0
1226   16   15    1
